"","DBN","school_name","Num of SAT Test Takers","SAT Critical Reading Avg. Score","SAT Math Avg. Score","SAT Writing Avg. Score","avg_sat_score","AP Test Takers","Total Exams Taken","Number of Exams with scores 3 4 or 5","exams_per_student","high_score_percent","avg_class_size","frl_percent","total_enrollment","ell_percent","sped_percent","selfcontained_num","asian_per","black_per","hispanic_per","white_per","male_per","female_per","Total Cohort","grads_percent","dropout_percent","boro","lat","long","bn","schoolname","responder","score","response_type","question"
"1","01M292","HENRY STREET SCHOOL FOR INTERNATIONAL STUDIES",29,355,404,363,1122,2.5,NA,NA,NA,NA,23,88.6,422,22.3,24.9,35,14,29.1,53.8,1.7,61.4,38.6,78,55.1,14.1,"Manhattan",40.7137639470004,-73.9852600399997,"M292","Henry Street School for International Studies","saf_p_11",23,"parent","safety+respect"
"2","01M448","UNIVERSITY NEIGHBORHOOD HIGH SCHOOL",91,383,423,366,1172,39,49,10,1.25641025641026,20.4081632653061,22,71.8,394,21.1,21.8,10,29.2,22.6,45.9,2.3,57.4,42.6,124,42.7,16.1,"Manhattan",40.712331851,-73.9847966249997,"M448","University Neighborhood High School","saf_p_11",24,"parent","safety+respect"
"3","01M450","EAST SIDE COMMUNITY SCHOOL",70,377,402,370,1149,19,21,NA,1.10526315789474,NA,21,71.8,598,5,26.4,19,9.7,23.9,55.4,10.4,54.7,45.3,90,77.8,5.6,"Manhattan",40.7297826870005,-73.9830414409997,"M450","East Side Community School","saf_p_11",32,"parent","safety+respect"
"4","01M458","FORSYTH SATELLITE ACADEMY",7,414,401,359,1174,2.5,NA,NA,NA,NA,23,72.8,224,4,8.9,0,2.2,34.4,59.4,3.6,43.3,56.7,NA,NA,NA,NA,NA,NA,"M458","Forsyth Satellite Academy","saf_p_11",26,"parent","safety+respect"
"5","01M509","MARTA VALLE HIGH SCHOOL",44,390,433,384,1207,2.5,NA,NA,NA,NA,24,80.7,367,11.2,25.9,36,9.3,31.6,56.9,1.6,46.3,53.7,84,56,6,"Manhattan",40.7205690790005,-73.9856726909996,"M509","Marta Valle High School","saf_p_11",22,"parent","safety+respect"
"6","01M515","LOWER EAST SIDE PREPARATORY HIGH SCHOOL",112,332,557,316,1205,24,26,24,1.08333333333333,92.3076923076923,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,193,54.4,18.1,NA,NA,NA,"M515","Lower East Side Preparatory High School","saf_p_11",28,"parent","safety+respect"
"7","01M539","NEW EXPLORATIONS INTO SCIENCE, TECHNOLOGY AND MATH HIGH SCHOOL",159,522,574,525,1621,255,377,191,1.47843137254902,50.6631299734748,26,23,1613,0.2,2.7,0,27.8,11.7,14.2,44.9,49.2,50.8,46,100,0,"Manhattan",40.7187254510005,-73.9794263859997,"M539","New Explorations into Science, Technology and Math","saf_p_11",30,"parent","safety+respect"
"8","01M650","CASCADES HIGH SCHOOL",18,417,418,411,1246,2.5,NA,NA,NA,NA,22,69.8,218,3.2,6.9,0,0.5,45.4,49.5,4.1,39.9,60.1,89,55.1,6.7,NA,NA,NA,"M650","Cascades High School","saf_p_11",35,"parent","safety+respect"
"9","01M696","BARD HIGH SCHOOL EARLY COLLEGE",130,624,604,628,1856,2.5,NA,NA,NA,NA,21,18,617,0.2,0.8,0,15.1,15.1,18.2,49.8,31.3,68.7,139,96.4,0.7,"Manhattan",40.7189616170004,-73.9760660209997,"M696","Bard High School Early College","saf_p_11",33,"parent","safety+respect"
"10","02M047","47 THE AMERICAN SIGN LANGUAGE AND ENGLISH SECONDARY SCHOOL",16,395,400,387,1182,2.5,NA,NA,NA,NA,16,66.9,174,8,32.2,10,1.7,32.2,59.2,6.3,42.5,57.5,25,76,4,"Manhattan",40.7385990870005,-73.9825119109997,"M047","47 The American Sign Language and English Secondar","saf_p_11",34,"parent","safety+respect"
"11","02M288","FOOD AND FINANCE HIGH SCHOOL",62,409,393,392,1194,2.5,NA,NA,NA,NA,23,68.4,433,2.1,18.5,4,3,44.1,47.6,4.8,45,55,102,89.2,2.9,"Manhattan",40.7650267080004,-73.9925165779997,"M288","Food and Finance High School","saf_p_11",21,"parent","safety+respect"
"12","02M294","ESSEX STREET ACADEMY",53,394,384,378,1156,2.5,NA,NA,NA,NA,15,60.8,343,3.8,20.4,2,4.1,27.7,60.6,7.6,53.4,46.6,89,71.9,10.1,"Manhattan",40.7168672240004,-73.9895319429996,"M294","Essex Street Academy","saf_p_11",32,"parent","safety+respect"
"13","02M296","HIGH SCHOOL OF HOSPITALITY MANAGEMENT",58,374,375,362,1111,2.5,NA,NA,NA,NA,23,72.4,419,9.5,14.8,17,5.3,26.5,66.1,2.1,32.2,67.8,75,77.3,6.7,"Manhattan",40.7650267080004,-73.9925165779997,"M296","High School of Hospitality Management","saf_p_11",25,"parent","safety+respect"
"14","02M298","PACE HIGH SCHOOL",85,423,438,432,1293,21,21,NA,1,NA,21,56.7,414,2.2,13.8,3,10.1,32.4,42,3.9,43.7,56.3,92,84.8,4.3,"Manhattan",40.7164123930005,-73.9926758439997,"M298","Pace High School","saf_p_11",20,"parent","safety+respect"
"15","02M300","URBAN ASSEMBLY SCHOOL OF DESIGN AND CONSTRUCTION, THE",48,404,449,416,1269,99,117,10,1.18181818181818,8.54700854700855,23,75.3,431,10.9,20,12,6,29.2,59.2,4.9,74.9,25.1,80,61.3,8.8,"Manhattan",40.7650267080004,-73.9925165779997,"M300","Urban Assembly School of Design and Construction,","saf_p_11",31,"parent","safety+respect"
"16","02M303","FACING HISTORY SCHOOL, THE",76,353,358,340,1051,42,44,NA,1.04761904761905,NA,22,75.6,451,20.8,21.7,9,0.7,23.5,73.2,2.4,50.6,49.4,71,47.9,19.7,"Manhattan",40.7650267080004,-73.9925165779997,"M303","Facing History School, The","saf_p_11",27,"parent","safety+respect"
"17","02M305","URBAN ASSEMBLY ACADEMY OF GOVERNMENT AND LAW, THE",50,375,388,385,1148,25,37,15,1.48,40.5405405405405,21,68.3,312,6.1,17,5,3.8,41.7,50.6,3.5,43.9,56.1,61,75.4,16.4,"Manhattan",40.7168672240004,-73.9895319429996,"M305","Urban Assembly Academy of Government and Law, The","saf_p_11",20,"parent","safety+respect"
"18","02M308","LOWER MANHATTAN ARTS ACADEMY",40,403,392,405,1200,2.5,NA,NA,NA,NA,23,62.2,336,3.9,24.7,3,9.5,30.7,55.7,3.6,39.9,60.1,68,67.6,8.8,"Manhattan",40.7168672240004,-73.9895319429996,"M308","Lower Manhattan Arts Academy","saf_p_11",23,"parent","safety+respect"
"19","02M313","JAMES BALDWIN SCHOOL, THE: A SCHOOL FOR EXPEDITIONARY LEARNING",69,408,390,390,1188,2.5,NA,NA,NA,NA,22,51,248,4.8,12.9,1,4,34.3,54.4,6.5,52.4,47.6,79,51.9,15.2,NA,NA,NA,"M313","James Baldwin School, The: A School for Expedition","saf_p_11",30,"parent","safety+respect"
"20","02M316","URBAN ASSEMBLY SCHOOL OF BUSINESS FOR YOUNG WOMEN, THE",42,373,370,384,1127,2.5,NA,NA,NA,NA,26,74.9,378,2.6,15.6,2,3.4,46.8,48.4,1.3,0,100,72,73.6,5.6,"Manhattan",40.7052349390004,-74.0133150399997,"M316","Urban Assembly School of Business for Young Women,","saf_p_11",29,"parent","safety+respect"
"21","02M374","GRAMERCY ARTS HIGH SCHOOL",60,391,391,394,1176,2.5,NA,NA,NA,NA,27,59,495,3,12.3,0,2.8,45.3,45.1,6.7,26.3,73.7,93,73.1,7.5,"Manhattan",40.7355194630004,-73.9876042489997,"M374","Gramercy Arts High School","saf_p_11",27,"parent","safety+respect"
"22","02M376","NYC ISCHOOL",92,473,483,479,1435,2.5,NA,NA,NA,NA,37,34.6,433,0.5,10.9,1,11.5,20.6,43,24,48.7,51.3,NA,NA,NA,"Manhattan",40.7243528740004,-74.0047592919997,"M376","NYC iSchool","saf_p_11",31,"parent","safety+respect"
"23","02M392","MANHATTAN BUSINESS ACADEMY",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,25,64,332,9.9,13.9,2,6.6,29.5,58.7,4.8,59,41,NA,NA,NA,"Manhattan",40.7428881010004,-74.0021273809996,"M392","MANHATTAN BUSINESS ACADEMY","saf_p_11",28,"parent","safety+respect"
"24","02M393","BUSINESS OF SPORTS SCHOOL",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,22,58.7,304,7.6,21.4,4,1.6,35.5,57.2,4.3,72.4,27.6,NA,NA,NA,"Manhattan",40.7633617320005,-73.9905090909996,"M393","BUSINESS OF SPORTS SCHOOL","saf_p_11",26,"parent","safety+respect"
"25","02M394","EMMA LAZARUS HIGH SCHOOL",79,319,512,357,1188,2.5,NA,NA,NA,NA,25,97,250,82.8,0,NA,62.4,7.2,26.4,4,51.2,48.8,10,NA,NA,NA,NA,NA,"M394","EMMA LAZARUS HIGH SCHOOL","saf_p_11",34,"parent","safety+respect"
"26","02M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY",NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,18,80.8,244,28.3,16.8,15,44.3,15.6,32.8,5.3,48,52,NA,NA,NA,"Manhattan",40.7355194630004,-73.9876042489997,"M399","THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY","saf_p_11",26,"parent","safety+respect"
"27","02M400","HIGH SCHOOL FOR ENVIRONMENTAL STUDIES",263,465,493,461,1419,213,298,152,1.39906103286385,51.006711409396,31,56.4,1394,7.1,14.4,47,16.7,14.8,57.2,11.1,50.4,49.6,352,74.4,6.3,"Manhattan",40.7677624390004,-73.9875112139997,"M400","High School for Environmental Studies","saf_p_11",28,"parent","safety+respect"
"28","02M407","INSTITUTE FOR COLLABORATIVE EDUCATION",54,492,465,467,1424,2.5,NA,NA,NA,NA,NA,17.9,489,0.4,8.8,2,6.3,10.2,17.6,54.6,55.2,44.8,55,76.4,3.6,"Manhattan",40.7324853780004,-73.9830533879996,"M407","Institute for Collaborative Education","saf_p_11",28,"parent","safety+respect"
"29","02M408","PROFESSIONAL PERFORMING ARTS HIGH SCHOOL",94,509,490,523,1522,20,20,15,1,75,29,23.5,502,2,3.2,0,7,19.1,23.7,41.8,25.3,74.7,80,92.5,0,"Manhattan",40.7614326990005,-73.9880236979997,"M408","Professional Performing Arts High School","saf_p_11",26,"parent","safety+respect"
"30","02M411","BARUCH COLLEGE CAMPUS HIGH SCHOOL",104,496,563,518,1577,78,115,88,1.47435897435897,76.5217391304348,27,54.6,432,1.6,2.3,0,60.6,5.8,14.6,18.8,44,56,105,98.1,0,"Manhattan",40.7440472480004,-73.9914792989996,"M411","Baruch College Campus High School","saf_p_11",29,"parent","safety+respect"
"31","02M412","N.Y.C. LAB SCHOOL FOR COLLABORATIVE STUDIES",114,537,590,550,1677,114,140,97,1.2280701754386,69.2857142857143,33,21.6,579,1.6,15,0,29.4,8.5,14,45.9,47,53,124,91.1,1.6,"Manhattan",40.7421007130004,-74.0020737969996,"M412","N.Y.C. Lab School for Collaborative Studies","saf_p_11",29,"parent","safety+respect"
"32","02M413","SCHOOL OF THE FUTURE HIGH SCHOOL",66,517,533,515,1565,11,11,NA,1,NA,NA,31,673,2.1,14.6,0,16,12.3,26,38,50.8,49.2,95,64.2,2.1,"Manhattan",40.7389488860004,-73.9854051719997,"M413","School of the Future High School","saf_p_11",29,"parent","safety+respect"
"33","02M414","N.Y.C. MUSEUM SCHOOL",103,468,492,459,1419,2.5,NA,NA,NA,NA,28,51.6,436,0.5,9.4,0,33,11.7,39.9,15.4,42.4,57.6,106,94.3,1.9,"Manhattan",40.7421007130004,-74.0020737969996,"M414","N.Y.C. Museum School","saf_p_11",25,"parent","safety+respect"
"34","02M416","ELEANOR ROOSEVELT HIGH SCHOOL",127,572,594,592,1758,155,235,169,1.51612903225806,71.9148936170213,27,15.8,507,0.2,1.2,0,17.2,5.5,11.6,63.7,32.5,67.5,127,100,0,"Manhattan",40.7701164710004,-73.9533791009997,"M416","Eleanor Roosevelt High School","saf_p_11",35,"parent","safety+respect"
"35","02M418","MILLENNIUM HIGH SCHOOL",144,528,553,533,1614,86,95,67,1.1046511627907,70.5263157894737,29,32.7,626,0.2,9.1,0,30,8.8,21.7,35.9,38.2,61.8,150,96.7,0,"Manhattan",40.7049203660005,-74.0115140229997,"M418","Millennium High School","saf_p_11",32,"parent","safety+respect"
